origem_id,origem_tipo,titulo,deliverable_id,artefato,status_fechamento,notas
RF-008,RF,Homogeneidade,DELIVERABLE-DEMO-001,CSS tokens,FECHADO_COM_RESSALVA,BUG-005
RF-009,RF,Seed dimensional,DELIVERABLE-SEED-001,desinfo_events 50k,FECHADO,
RF-010,RF,Catalogo 15 temas,DELIVERABLE-SEED-001,validate_catalogs,FECHADO,
RF-011,RF,Catalogo 4 plataformas,DELIVERABLE-SEED-001,validate_catalogs,FECHADO,
RF-012,RF,Analises descritivas,DELIVERABLE-DEMO-001,escopo produto,FECHADO,
RF-013,RF,Navegacao 2 paginas,DELIVERABLE-DEMO-001,dsn-nav,FECHADO,
RF-014,RF,Controles carrossel,DELIVERABLE-DEMO-001,Swiper,FECHADO,
RF-015,RF,Eixo alinhado,DELIVERABLE-DEMO-001,captions,FECHADO,
RF-016,RF,Legendas,DELIVERABLE-DEMO-001,captions,FECHADO,
RF-017,RF,Seed reproduzivel,DELIVERABLE-SEED-001,seed=42,FECHADO,
RF-018,RF,Badge ficticio,DELIVERABLE-DEMO-001,dsn-badge-fake,FECHADO,
RF-019,RF,Auth embeds producao,DELIVERABLE-DOCS-001,TASK-019 Won't,N/A_WONT,nao orfao
RNF-001,RNF,Troca slide <300ms,DELIVERABLE-QA-001,metrics.jsonl PASS,FECHADO,
RNF-002,RNF,Sem scroll,DELIVERABLE-QA-001,BUG-001,FECHADO_COM_RESSALVA,BUG-001
RNF-003,RNF,First embed <5s,DELIVERABLE-QA-001,metrics PASS,FECHADO,
RNF-004,RNF,Iframe compat,DELIVERABLE-QA-001,BUG-002,FECHADO_COM_RESSALVA,BUG-002
RNF-005,RNF,Homogeneidade tokens,DELIVERABLE-QA-001,homogeneity.json PASS,FECHADO,
RNF-006,RNF,Teclado,DELIVERABLE-DEMO-001,Swiper keyboard,FECHADO,
RNF-007,RNF,title iframes,DELIVERABLE-DEMO-001,shortcode,FECHADO,
RNF-008,RNF,a11y contraste,DELIVERABLE-QA-001,BUG-003,FECHADO_COM_RESSALVA,BUG-003
RNF-009,RNF,ES nao exposto,DELIVERABLE-QA-001,BUG-004,FECHADO_COM_RESSALVA,BUG-004
RNF-010,RNF,Seed sem PII,DELIVERABLE-SEED-001,seed ficticio,FECHADO,
RNF-011,RNF,frame-ancestors,DELIVERABLE-DEMO-001,kibana.yml,FECHADO,
RNF-012,RNF,Duas rotas,DELIVERABLE-DEMO-001,por-tema/por-plataforma,FECHADO,
US-001,US,Pag Tema,DELIVERABLE-DEMO-001,plugin,FECHADO,
US-002,US,Pag Plataforma,DELIVERABLE-DEMO-001,plugin,FECHADO,
US-003,US,Carrossel,DELIVERABLE-DEMO-001,Swiper,FECHADO_COM_RESSALVA,BUG-001
US-004,US,4 slides tema,DELIVERABLE-DEMO-001,shortcode,FECHADO,
US-005,US,4 slides plat,DELIVERABLE-DEMO-001,shortcode,FECHADO,
US-006,US,Embed Kibana,DELIVERABLE-DEMO-001,iframe,FECHADO_COM_RESSALVA,BUG-002
US-007,US,Embed Shiny,DELIVERABLE-DEMO-001,shiny,FECHADO,
US-008,US,Homogeneidade,DELIVERABLE-DEMO-001,CSS,FECHADO_COM_RESSALVA,BUG-005
US-009,US,Seed,DELIVERABLE-SEED-001,scripts/seed,FECHADO,
US-010,US,15 temas,DELIVERABLE-SEED-001,catalogo,FECHADO,
US-011,US,4 plataformas,DELIVERABLE-SEED-001,catalogo,FECHADO,
US-012,US,Descritivo,DELIVERABLE-DEMO-001,escopo,FECHADO,
US-013,US,Nav paginas,DELIVERABLE-DEMO-001,nav,FECHADO,
US-014,US,Controles,DELIVERABLE-DEMO-001,Swiper,FECHADO,
US-015,US,Eixo,DELIVERABLE-DEMO-001,captions,FECHADO,
US-016,US,Legendas,DELIVERABLE-DEMO-001,captions,FECHADO,
US-017,US,Seed reproduzivel,DELIVERABLE-SEED-001,seed=42,FECHADO,
US-018,US,Badge,DELIVERABLE-DEMO-001,badge,FECHADO,
US-019,US,Auth Won't,DELIVERABLE-DOCS-001,backlog Won't,N/A_WONT,nao orfao
US-020,US,Iframe bloqueado,DELIVERABLE-DEMO-001,estado error,FECHADO,
US-021,US,Dado ausente,DELIVERABLE-DEMO-001,estado empty,FECHADO,
DELIVERABLE-DEMO-001,DELIVERABLE,Stack+plugin,DELIVERABLE-REL-001,tag v0.1.0,FECHADO,
DELIVERABLE-SEED-001,DELIVERABLE,Seed ES,DELIVERABLE-REL-001,tag v0.1.0,FECHADO,
DELIVERABLE-QA-001,DELIVERABLE,QA report,DELIVERABLE-REL-001,docs/06-validation,FECHADO,
DELIVERABLE-DOCS-001,DELIVERABLE,Docs 00-07,DELIVERABLE-REL-001,docs/,FECHADO,
DELIVERABLE-REL-001,DELIVERABLE,Release v0.1.0,DELIVERABLE-REL-001,git tag v0.1.0,FECHADO,
